Food Name,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Sodium (mg),Potassium (mg),Calcium (mg),Magnesium (mg),Phosphorus (mg),Iron (mg),Copper (mg),Zinc (mg),Chloride (mg),Manganese (mg),Selenium (µg),Iodine (µg),Retinol (µg),Carotene (µg),Retinol Equivalent (µg),Vitamin D (µg),Vitamin E (mg),Vitamin K1 (µg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Tryptophan/60 (mg),Niacin equivalent (mg),Vitamin B6 (mg),Vitamin B12 (µg),Folate (µg),Pantothenate (mg),Biotin (µg),Vitamin C (mg)
,WATER,TOTNIT,PROT,FAT,CHO,KCALS,KJ,STAR,OLIGO,TOTSUG,GLUC,GALACT,FRUCT,SUCR,MALT,LACT,ALCO,ENGFIB,AOACFIB,SATFAC,SATFOD,TOTn6PFAC,TOTn6PFOD,TOTn3PFAC,TOTn3PFOD,MONOFACc,MONOFODc,MONOFAC,MONOFOD,POLYFACc,POLYFODc,POLYFAC,POLYFOD,SATFACx6,SATFODx6,TOTBRFAC,TOTBRFOD,FACTRANS,FODTRANS,CHOL,NA,K,CA,MG,P,FE,CU,ZN,CL,MN,SE,I,RET,CAREQU,RETEQU,VITD,VITE,VITK1,THIA,RIBO,NIAC,TRYP60,NIACEQU,VITB6,VITB12,FOLT,PANTO,BIOT,VITC
,Water,Total nitrogen,Protein,Fat,Carbohydrate,kcal,kJ,Starch,Oligosaccharide,Total sugars,Glucose,Galactose,Fructose,Sucrose,Maltose,Lactose,Alcohol,Non-starch polysaccharide,AOAC fibre,Saturated fatty acids per 100g fatty acids,Saturated fatty acids per 100g food,Total n-6 polyunsaturated fatty acids per 100g fatty acid,Total n-6 polyunsaturated fatty acids per 100g food,Total n-3 polyunsaturated fatty acids per 100g fatty acid,Total n-3 polyunsaturated fatty acids per 100g food,cis-Monounsaturated fatty acids /100g FA,cis-Monounsaturated fatty acids /100g Food,Monounsaturated fatty acids per 100g fatty acids,Monounsaturated fatty acids per 100g food,cis-Polyunsaturated fatty acids /100g FA,cis-Polyunsaturated fatty acids /100g Food,Polyunsaturated fatty acids per 100g fatty acids,Polyunsaturated fatty acids per 100g food,Saturated fatty acids excluding branch per 100 g fatty acid,Saturated fatty acids excluding branch per 100 g food,Total branched chain per 100g fatty acid,Total branched chain per 100g food,Total Trans fatty acids per 100g fatty acids,Total Trans fatty acids per 100g food,Cholesterol,Sodium,Potassium,Calcium,Magnesium,Phosphorus,Iron,Copper,Zinc,Chloride,Manganese,Selenium,Iodine,Retinol,Carotene,Total retinol equivalent,Total Vitamin D,Total Vitamin E,Phylloquinone,Thiamin,Riboflavin,Niacin,Tryptophan divided by 60,Niacin equivalent,Vitamin B6,Vitamin B12,Folate,Pantothenate,Biotin,Vitamin C
"Ackee, canned, drained",76.7,0.46,2.9,15.2,0.8,151,625,0,0,0.8,0.1,0.0,0,0.7,0.0,0.0,0,N,0,0,N,4.30,0.52,0.60,0.07,58.50,7.11,0,N,4.90,0.60,0,N,36.50,4.44,0.10,0.01,0.00,0.00,0.0,240,270,35,40,47,0.70,0.27,0.6,340,N,N,0,0,N,N,0.0,N,0,0.03,0.07,0.6,0.5,1.1,0.06,0.0,41,N,N,30
"Agar, dried",9.7,0.26,1.3,1.2,0,16,67,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,81.1,0,0,0.30,0,0,0,0,0,0,0,0.10,0,0,0,0.40,0,0,0,0,0,0,0.0,110,110,760,620,50,20.60,N,14.4,N,4.30,N,N,0,0,0,0.0,0,0,0.01,0.22,0.2,N,N,0,0.0,0,0,0,0
"Agar, dried, soaked and drained",84.2,0.03,0.2,0.1,0,2,7,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,10,20,110,75,8,3.50,N,2.5,N,0.40,N,N,0,0,0,0.0,0,0,0.01,0.04,0.1,N,N,0,0.0,0,0,0,0
"Alfalfa sprouts, raw",93.4,0.64,4.0,0.7,0.4,24,100,0,0,0.3,0.1,0.0,0.2,0,0.0,0.0,0,1.7,0,0,N,0,0,0,0,0,0,0,N,0,0,0,N,0,0,0,0,0,0,0.0,6,79,32,27,70,1.00,0.16,0.9,N,0.20,N,N,0,96,16,0.0,N,0,0.04,0.06,0.5,0.6,1.1,0.03,0.0,36,0.56,N,2
"Allspice, ground",8.5,0.98,6.1,8.7,N,N,N,N,0,N,N,0.0,N,N,0.0,0.0,0,N,0,0,2.50,0,0,0,0,0,0,0,0.70,0,0,0,2.40,0,0,0,0,0,0,0.0,77,1040,660,130,110,7.10,0.55,1.0,N,1.70,N,N,0,325,54,0.0,N,0,0.10,0.06,2.9,N,N,N,0.0,0,N,N,0
"Almonds, flaked and ground",4.2,4.07,21.1,55.8,6.9,612,2534,2.7,0,4.2,0,0,0,4.2,0.0,0.0,0.0,7.4,N,0,4.43,19.10,10.19,0.50,0.27,71.60,38.19,0,38.19,19.60,10.46,0,10.46,8.30,4.43,0.00,0.00,0.00,0.00,0.0,14,780,240,270,550,3.00,1.00,3.2,18,1.70,2,2,0,0,0,0.0,23.96,0,0.21,0.75,3.1,3.4,6.5,0.15,0.0,48,0.44,64.0,0
"Almonds, toasted",2.4,4.05,21,52.5,5.9,579,2394,0.8,0,5.1,0,0,0,5,0.1,0,0,N,10.9,0,4.09,0,0,0,0,0,0,0,33.08,0,0,0,12.96,0,0,0,0,0,0.01,0,3,713,268,279,471,3.73,1.1,3.3,18,2.23,2,2,0,1,0,0,23.9,0,0.08,1.2,3.6,3.5,7.1,0.14,0,55,0.32,49,0
"Almonds, weighed with shells",1.6,1.51,7.8,18.5,1.9,205,847,0.3,0,1.6,0.1,0,0,1.5,0,0,0,N,4.6,0,1.41,0,0,0,0,0,0,0,11.67,0,0,0,4.56,0,0,0,0,0,0.01,0,0,271,100,100,178,1.37,0.38,1.2,7,0.81,2,1,0,0,0,0,9.48,0,0.08,0.42,1.3,1.3,2.6,0.05,0,16,0.17,23.7,0
