display_name,emoji
,
,
,
,
Canned Ackee,🥫
Dried Agar,🧫
Soaked Agar,🧫
Raw Alfalfa Sprouts,🌱
Ground Allspice,🌶️
Ground and Flaked Almonds,🥜
Toasted Almonds,🥜
Whole Almonds (in shell),🥜
Whole Almonds,🥜
Boiled Amaranth Leaves,🥬
Raw Amaranth Leaves,🥬
Amla,🍛
Anise Seeds,🍛
Unsweetened Apple Juice Concentrate,🍎
Apple Juice,🍎
Homemade Apple Sauce,🍎
Baked Cooking Apples with Sugar,🍎
Baked Cooking Apples with Sugar (with skin),🍎
Baked Cooking Apples,🍎
Baked Cooking Apples (with skin),🍎
Peeled Cooking Apples,🍎
Raw Cooking Apples,🍎
Stewed Cooking Apples with Sugar,🍎
Stewed Cooking Apples,🍎
Dried Eating Apples,🍎
Fresh Eating Apples,🍎
Whole Fresh Eating Apples,🍎
Dried Apricots,🍑
Stewed Dried Apricots with Sugar,🍑
Stewed Dried Apricots,🍑
Fresh Apricots,🍑
Whole Fresh Apricots,🍑
Semi-Dried Apricots,🍑
Stewed Apricots with Sugar,🍑
Whole Stewed Apricots with Sugar,🍑
Stewed Apricots,🍑
Whole Stewed Apricots,🍑
Boiled Arrowhead,🍛
Raw Arrowhead,🍛
Arrowroot,🍛
Boiled Globe Artichoke (heart and leaves),🥬
Boiled Globe Artichoke,🥦
Raw Globe Artichoke,🥦
Boiled Jerusalem Artichoke,🥦
Asafoetida,🍛
Grilled Asparagus,🥦
Raw Asparagus,🥦
Roasted Asparagus,🥦
Steamed Asparagus,🥦
Boiled Aubergine,🍆
Roasted Aubergine,🍆
Fried Aubergine in Corn Oil,🍆
Fried Aubergine in Rapeseed Oil,🍆
Raw Aubergine,🍆
Lentil-Stuffed Aubergine,🍆
Rice-Stuffed Aubergine,🍚
Fuerte Avocado,🥑
Whole Fuerte Avocado,🥑
Hass Avocado,🥑
Whole Hass Avocado,🥑
Raw Ayr,🍛
Babaco,🍛
Plain Bagels,🍞
Baked Beans in Barbecue Sauce,🫘
Baked Beans in Tomato Sauce,🫘
Reduced Sugar and Salt Baked Beans,🫘
Hard Block Baking Fat,🧈
Baking Powder,🍛
Homemade Banana Bread,🍌
Homemade Banana Split,🍌
Bananas,🍌
Whole Bananas,🍌
Beremeal Bannocks,🍛
Wheat Flour Bannocks,🌾
Barbecue Sauce,🍛
Homemade Barbecue Sauce,🍛
Barcelona Nuts,🥜
Whole Barcelona Nuts,🥜
Diluted Barley Water,🌾
Barley Water,🌾
Boiled Pearl Barley,🌾
Raw Pearl Barley,🌾
Dried Basil,🥬
Fresh Basil,🥬
Dried Bay Leaf,🥬
Homemade Bean Loaf,🫘
Homemade Aduki Bean Burger,🍔
Homemade Butter Bean Burger,🍔
Red Kidney Bean Burger,🍔
Soya Bean Burger,🍔
Boiled Aduki Beans,🫘
Raw Aduki Beans,🫘
Raw Balor Beans,🫘
Boiled Black-Eyed Beans,🫘
Raw Blackeye Beans,🫘
Raw Broad Beans,🫘
Boiled Broad Beans,🫘
Fresh Broad Beans,🫘
Canned Butter Beans,🫘
Boiled Butter Beans,🫘
Raw Butter Beans,🫘
Canned Cannellini Beans,🫘
Canned Chickpeas,🫛
